id_motorista,nome,cnh_categoria,id_filial,data_admissao,score_seguranca
1,Danilo Rodrigues,C,1,2024-03-04,7.1
2,Luigi Camargo,E,1,2023-06-12,8.2
3,Rafael Abreu,D,3,2018-06-21,8.4
4,Sra. Sarah Teixeira,C,3,2024-01-11,8.7
5,Kaique Porto,E,3,2017-07-03,8.0
6,Eduardo Freitas,C,1,2020-04-09,8.5
7,Vitória Abreu,C,3,2022-06-01,6.0
8,Allana Camargo,E,2,2021-01-15,9.9
9,Isaque Araújo,E,2,2023-10-27,7.8
10,Anna Liz Barros,E,4,2018-01-10,6.0
11,Vitor Vargas,E,1,2022-02-27,9.6
12,Olívia Novaes,C,5,2017-01-21,9.3
13,Mariana Cunha,E,5,2017-05-22,6.6
14,Dra. Gabriela Silva,C,2,2023-10-26,7.2
15,Maria Fernanda Macedo,D,1,2018-08-16,6.8
16,Bárbara da Cruz,E,2,2023-07-28,6.4
17,Sr. Yuri da Conceição,D,5,2017-11-21,9.9
18,Brayan Santos,C,2,2020-12-13,9.5
19,Bernardo Andrade,D,2,2021-04-24,6.1
20,Théo da Costa,D,3,2023-03-27,9.2
21,Hadassa Nogueira,D,2,2018-05-06,6.6
22,Olívia da Cruz,D,1,2017-02-10,9.5
23,Esther Brito,C,4,2022-08-08,6.8
24,Maria Lima,D,4,2016-10-24,7.2
25,Srta. Beatriz Araújo,C,2,2019-06-17,6.1
26,Sr. Josué Correia,D,2,2019-05-22,7.3
27,Cecilia Lima,D,1,2017-08-07,7.4
28,Isadora Barbosa,D,5,2017-07-18,8.7
29,Beatriz Aragão,D,5,2019-09-24,9.8
30,Alice Borges,D,1,2021-06-27,6.7
31,Enzo Jesus,C,3,2023-10-18,6.4
32,Murilo Araújo,D,4,2020-02-01,8.9
33,Mathias da Luz,D,3,2017-05-21,8.4
34,Laura Lima,C,5,2023-10-19,7.5
35,Dra. Raquel Cassiano,C,5,2021-11-11,7.0
36,Benjamin Pacheco,C,4,2017-08-06,8.1
37,Levi Araújo,E,5,2022-03-11,8.9
38,Sarah Moura,D,2,2016-06-03,7.7
